condition,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,mean_confidence_proxy,runtime_per_image_seconds,total_pixels
normal,0.6441728329809725,0.5151210485698167,0.4341978545043128,0.7054972549233837,0.2632520280789927,0.03125071699762366,0.5468559837728195,0.8958558241526285,0.5012284000404179,1135200
low_light,0.6342450669485553,0.5073177390591798,0.4185414495606315,0.7003294091939581,0.2608287126819808,0.03884187812406108,0.5323867478025693,0.8930520812670389,0.11559943330939859,1135200
gaussian_blur,0.5812676180408739,0.4766803807979354,0.3951275542677133,0.6493764169238754,0.34442216820081395,0.006201414875310699,0.5104800540906017,0.9073271751403809,0.11407119998087485,1135200
fog,0.6372392529950669,0.4437525775997839,0.42350233359576367,0.703627871404769,0.26855207451312446,0.02782005408210647,0.6980392156862745,0.9054369727770487,0.11426853334220748,1135200
synthetic_snow,0.4664349894291755,0.4565389305096805,0.22659744948521668,0.5712829477479446,0.3357176804785447,0.0929993717735107,0.20513860716700474,0.9152380228042603,0.11798546668918182,1135200
