condition,sequence,filename,image_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,mean_confidence_proxy,runtime_seconds,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
normal,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.6723467230443975,0.3746642082599228,0.2800768084155727,0.8613276146978884,0.0669881136985976,0.07168427160351397,0.7401515151515151,0.908627450466156,1.2732177000725642,378400,0.017037552155771907,0.010862440303399194,0.7534386037814254,0.25984848484848483,0.0028165252333952483,0.8613276146978884,0.031978370315122136,0.004473194574323478,0.8037788603572725
low_light,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.6666596194503172,0.3853528937205839,0.2871400710743139,0.8514772199016657,0.05181721630489737,0.09670556379343692,0.6984848484848485,0.9059006571769714,0.11676649993751198,378400,0.024572988761191187,0.03188455008488964,0.7531129858553846,0.29318181818181815,0.011399643078267838,0.8514772199016657,0.04534536293866073,0.016794698670196118,0.7992801516140847
gaussian_blur,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.7363345665961945,0.31514590098481327,0.2827160850840171,0.9454377029544399,0.05294714447132595,0.0016151525742342447,1.0,0.9126219153404236,0.12001829990185797,378400,0.0,0.0,0.7690135791565467,0.0,0.0,0.9454377029544399,0.0,0.0,0.8481482552520513
fog,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.72205866807611,0.3171427530015092,0.2897656881933887,0.9234566979630754,0.008357396618359127,0.06818590541856544,0.7681818181818182,0.9176805019378662,0.11805799999274313,378400,0.008054772452678213,0.04926062415449923,0.7677471225457008,0.015151515151515152,0.012820045889936993,0.9234566979630754,0.010518012095713911,0.02034525277435265,0.8384337997100997
synthetic_snow,creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,0.5290063424947146,0.2277317111660416,0.2322913758111053,0.6776956251760211,0.033650143022439086,0.2886542318015398,1.0,0.8619993925094604,0.11836089997086674,378400,0.0,0.005296882673464138,0.705832252501228,0.0,0.005499508322103653,0.6776956251760211,0.0,0.005396294068245847,0.6914778333650701
normal,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.6358403805496828,0.5067877287447818,0.4393418303469209,0.6601214815760682,0.3311548295165985,0.008723688907333297,0.5048559670781892,0.9127107262611389,0.1233756000874564,378400,0.02432554829527075,0.771163215590743,0.9414588920896659,0.4951440329218107,0.3650976717364665,0.6601214815760682,0.04637287926555719,0.4955726236485495,0.7760799881266559
low_light,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.6254413319238901,0.5093520525513912,0.4401167827665638,0.6476134645465916,0.3436280214406566,0.008758514012751793,0.4962962962962963,0.9142366051673889,0.10640809999313205,378400,0.023909051842012734,0.7759631801647985,0.9418005942332366,0.5037037037037037,0.376738989403878,0.6476134645465916,0.045651200954796356,0.5072178955285439,0.7674812518163512
gaussian_blur,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.5525369978858351,0.4495328319085982,0.3449349419824011,0.5825630697169589,0.4127239326830712,0.004712997599969819,0.40411522633744856,0.9416607618331909,0.1153153000632301,378400,0.023656265316124817,0.7440504334121355,0.9164908916586769,0.5958847736625514,0.17015065234628415,0.5825630697169589,0.04550597108736643,0.2769645947610806,0.7123342600987563
fog,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.6375237843551798,0.4937849979010855,0.4802952005388956,0.6533770194933528,0.3390369117096515,0.007586068796995755,0.682798353909465,0.9260280132293701,0.11827510001603514,378400,0.015388792614657285,0.8442749910639819,0.9523970675950642,0.31720164609053497,0.5107763281193686,0.6533770194933528,0.029353521813307335,0.6364861223389922,0.7750459574643872
synthetic_snow,creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,0.5482478858350951,0.5179992755121066,0.26212936550380056,0.5848760371351708,0.41497595616680066,0.00014800669802860882,0.03242798353909465,0.9647175669670105,0.12133100000210106,378400,0.037759120195797545,0.4574468085106383,0.9052305342825702,0.9675720164609054,0.0015497729402436386,0.5848760371351708,0.07268185921135606,0.0030890804597701145,0.7106171568402755
