condition,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,mean_confidence_proxy,runtime_per_image_seconds,total_pixels
normal,0.7455480091613813,0.7619902847869146,0.6467027617664848,0.9445899368162026,0.04869824839028371,0.006711814793513619,0.019961980029048296,0.9194540580113729,0.1425436166735987,11352000
low_light,0.7401531888653982,0.7566130897673613,0.639935785152468,0.9436630386979561,0.04851235193896782,0.00782460936307612,0.020046712528547377,0.9213412741820017,0.1029648166654321,11352000
gaussian_blur,0.7197636539816772,0.7430358622670953,0.6175716650087256,0.9328755532276776,0.06478305593415874,0.002341390838163653,0.015992511640750152,0.9133655726909637,0.10340600667210917,11352000
fog,0.735116895701198,0.752555296872877,0.6333462416208083,0.9441485336872311,0.049612225816866314,0.006239240495902606,0.0196270374427931,0.9274085263411204,0.10328589999893059,11352000
synthetic_snow,0.701186310782241,0.6648478627702483,0.5888292459055603,0.9184106774011773,0.06509250649951168,0.01649681609931102,0.015136214969341788,0.9120702743530273,0.10146213331803058,11352000
