condition,sequence,filename,image_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,mean_confidence_proxy,runtime_seconds,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
normal,creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,0.9445983086680761,0.6345002067820964,0.6304504869624834,0.9909518834732279,0.0,0.009048116526772098,0.00980392156862745,0.9075605273246765,0.1185386999277398,378400,0.0,0.987086082521831,0.8994681024992642,0.0,0.9125487368730612,0.9909518834732279,0.0,0.9483550718208078,0.9429963890666423
low_light,creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,0.9445401691331924,0.6343759053997662,0.6304075907125842,0.9896730189608175,0.0,0.010326981039182488,0.00196078431372549,0.9185414910316467,0.12816919991746545,378400,0.0,0.9859818347515334,0.900328814411029,0.0,0.913454697238481,0.9896730189608175,0.0,0.9483335959659629,0.94288917617179
gaussian_blur,creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,0.9455443974630021,0.6354591870611511,0.631102472885721,0.9965656783985974,0.0,0.003434321601402548,0.00980392156862745,0.9430856704711914,0.100683500058949,378400,0.0,0.9918198082670611,0.8971709025653222,0.0,0.9098118827848558,0.9965656783985974,0.0,0.9490475483647519,0.9442598702924109
fog,creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,0.9436310782241015,0.6338131008026235,0.629799450264115,0.9894028363173505,0.0,0.010597163682649471,0.00980392156862745,0.9685339331626892,0.10515650000888854,378400,0.0,0.9857733163809368,0.8987967972772494,0.0,0.9120364660905201,0.9894028363173505,0.0,0.9474724180919577,0.941925932700387
synthetic_snow,creek,creek_03836.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_03836.png,0.9271247357293869,0.6231639409600684,0.6187491520160153,0.978349364170179,0.0,0.02165063582982096,0.10980392156862745,0.9525856375694275,0.09844249999150634,378400,0.0,0.9765372420603982,0.8760174184183646,0.0,0.8911424587100263,0.978349364170179,0.0,0.9318876235070037,0.9243598325410423
normal,park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,0.9939059196617336,0.9590593184317964,0.9621794876083577,0.9964612699691233,0.00118673647469459,0.002351993556182038,0.0012383124038534972,0.9694498181343079,0.12058310001157224,378400,0.9963025979975133,0.9040969417195615,0.995723400031122,0.9966178251524707,0.8840988601737952,0.9964612699691233,0.9964601866447043,0.8939860778272282,0.9960921983531406
low_light,park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,0.9938292811839323,0.956965948529762,0.961379037718242,0.9964720096657269,0.0011921063229963754,0.0023358840112766813,0.001216491920966211,0.9702349305152893,0.09882940002717078,378400,0.9962107788348826,0.9060934405219621,0.995525799079409,0.996759658291238,0.8776661776323214,0.9964720096657269,0.9964851429802388,0.891653290529695,0.9959986796447923
gaussian_blur,park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,0.9914984143763214,0.9280180299510784,0.946648346775214,0.9951832460732984,0.003103772318432004,0.0017129816082695664,0.0009655563677624186,0.9646443724632263,0.10251310002058744,378400,0.9912983133366224,0.9194965255015078,0.9946437963569228,0.9974251830193002,0.7914456607606365,0.9951832460732984,0.9943523103319819,0.8506792819019894,0.9949134480916707
fog,park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,0.9923123678646935,0.9437567439392716,0.9500755617353042,0.9952584239495235,0.0011276681433749496,0.0036139079071016243,0.001445606991282717,0.9647162556648254,0.10265429993160069,378400,0.995125458179699,0.8804309222209068,0.9946121730544256,0.9967160173254634,0.8392957905428281,0.9952584239495235,0.9959201026924053,0.8593713889530853,0.994935193560422
synthetic_snow,park-8,park-8_00016.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00016.png,0.9775237843551797,0.7058071618592082,0.7293783189692933,0.9983890455094644,0.001380051013558867,0.0002309034769767754,0.0014401518705608955,0.9542952179908752,0.11220609990414232,378400,0.989455973685919,0.8444619010212098,0.966934154345418,0.9977143044175567,0.12131813565060377,0.9983890455094644,0.9935679789655528,0.21215709492796528,0.9824098830143617
normal,park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,0.9775766384778013,0.6409607458837269,0.6475455301515592,0.998348966743473,0.0,0.0016510332565270243,0.16382252559726962,0.8993961215019226,0.09875400003511459,378400,0.0,0.9926690056029743,0.9724829012247495,0.0,0.9245332709077076,0.998348966743473,0.0,0.9573903952890555,0.9852461951656222
low_light,park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,0.9822515856236786,0.6467817776610438,0.6516942788551647,0.9982255928297984,0.0,0.0017744071702015711,0.24573378839590443,0.9025780558586121,0.10089580004569143,378400,0.0,0.9927028304795577,0.9786340901167547,0.0,0.942119740153333,0.9982255928297984,0.0,0.9667500750675608,0.9883327614979333
gaussian_blur,park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,0.834053911205074,0.4649312099160059,0.4876015940313338,0.997376490012156,0.0,0.002623509987844041,0.15358361774744028,0.8867380619049072,0.09482700005173683,378400,0.0,0.9767230013184706,0.8163773259871987,0.0,0.39741713973586157,0.997376490012156,0.0,0.5649590604352559,0.8978457216587454
fog,park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,0.9742811839323468,0.6368348690191553,0.6446061847055916,0.9984759693016674,0.0,0.0015240306983326378,0.16382252559726962,0.8976963758468628,0.09688899992033839,378400,0.0,0.9929381530880979,0.9681000028146022,0.0,0.9120286377557988,0.9984759693016674,0.0,0.9507651634551834,0.9830533906615913
synthetic_snow,park-8,park-8_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_00381.png,0.9862473572938689,0.6514078620034995,0.655168620397855,0.9987408603516157,0.0,0.001259139648384346,0.24914675767918087,0.8959512114524841,0.09900869999546558,378400,0.0,0.9942451154529307,0.9834318892362662,0.0,0.9554827256588829,0.9987408603516157,0.0,0.9744786045054141,0.9910272566881505
normal,park-8,park-8_01536.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\park-8\park-8_01536.png,0.9598837209302326,0.8556475442581126,0.8081047851202608,0.9857180734440807,0.0005914685756824834,0.01369045798023679,0.2692816748887017,0.9183911681175232,0.09952739998698235,378400,0.38197611292073835,0.9792924576003997,0.9839120122962918,0.634941643604861,0.9462829157253962,0.9857180734440807,0.4769953900388683,0.962504750489666,0.9848142148322482
