sequence,filename,image_path,mask_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01021.png,0.7763451374207189,0.39250857646066906,0.42185394670844656,0.9269957822801476,0.07290242238954359,0.00010179533030888097,0.9992424242424243,378400,4.6541934282788796e-05,0.9985439720442633,0.8123279117480896,0.0007575757575757576,0.2497723713442838,0.9269957822801476,8.769622029290537e-05,0.39959213401310995,0.8658820098919368
creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01086.png,0.6117521141649048,0.5539635868269323,0.4195075322047615,0.6333699964304267,0.3549374744253132,0.011692529144260097,0.29415637860082305,378400,0.03204160626485138,0.6896472038206748,0.9423727935334554,0.705843621399177,0.32267714265119296,0.6333699964304267,0.06130049106153638,0.43964839913572973,0.7575737064170185
creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01221.png,0.6199022198731501,0.6648144744093849,0.5207344429451908,0.5669035135712914,0.42336776732237386,0.009728719106334719,,378400,0.0,0.9667689794301839,0.9479143315864409,0.0,0.7627254352474784,0.5669035135712914,0.0,0.8527108088488137,0.7094925199867587
