sequence,filename,image_path,mask_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
creek,creek_01021.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01021.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01021.png,0.7765909090909091,0.4603616832233312,0.49783452713466997,0.848179051199658,0.11357983638097242,0.038241112419369616,0.9590909090909091,378400,0.0,0.7949293734154292,0.8628234733713718,0.0,0.5329059984703355,0.848179051199658,0.0,0.6380649897158972,0.8554385916881125
creek,creek_01086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01086.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01086.png,0.9381527484143763,0.4820765360617543,0.5195355674997403,0.9938040333276259,0.0,0.0061959666723741145,1.0,378400,0.0,0.8546432461873639,0.9415251627661446,0.0,0.4524255748576371,0.9938040333276259,0.0,0.5916482066267615,0.9669584958724593
creek,creek_01221.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\creek\creek_01221.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\creek\creek_01221.png,0.9300422832980972,0.8782199420662758,0.6035425513832487,0.9911952374568367,0.0008188791501048963,0.007985883393058368,,378400,0.0,0.9726466025442134,0.9196027874798721,0.0,0.765244646675715,0.9911952374568367,0.0,0.8565698297156098,0.9540578244341366
