model_name,device,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,elapsed_seconds,runtime_per_image_seconds,peak_gpu_memory_mb
SegFormer-B0 CPU historical baseline,cpu,0.7174043340380549,0.6983135770002727,0.6129568557263441,0.9196148858642627,0.06653332512869413,0.01385178900704323,0.1374321267757689,47.73890550003853,1.5912968500012843,
SegFormer-B0 CUDA,cuda,0.7174064482029598,0.6982730577355653,0.6129506113058244,0.919616985476658,0.06653122551629873,0.01385178900704323,0.13747598830492136,30.71284149994608,1.023761383331536,473.78759765625
SegFormer-B2 CUDA,cuda,0.7455480091613813,0.7619902847869146,0.6467027617664848,0.9445899368162026,0.04869824839028371,0.006711814793513619,0.019961980029048296,27.629989000037313,0.9209996333345771,565.232421875
