sequence,filename,image_path,mask_path,accuracy,balanced_accuracy,macro_f1,high_risk_recall,unsafe_to_safe_error_rate,unsafe_to_medium_error_rate,safe_to_high_risk_rate,total_pixels,precision_low_risk,precision_medium_risk,precision_high_risk,recall_low_risk,recall_medium_risk,recall_high_risk,f1_low_risk,f1_medium_risk,f1_high_risk
trail-4,trail-4_03716.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-4\trail-4_03716.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-4\trail-4_03716.png,0.965877378435518,0.9191320251618721,0.9349808089950473,0.9957754340043882,3.368105007890989e-05,0.00419088494553293,0.0037829895358937517,378400,0.9216558873307543,0.9579358423314813,0.995488041867893,0.9902583960449088,0.7713622454363195,0.9957754340043882,0.9547263584244818,0.8545843513636736,0.9956317171969865
trail-4,trail-4_03731.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-4\trail-4_03731.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-4\trail-4_03731.png,0.9650026427061311,0.9365387605765871,0.9496647848140002,0.9966816449929595,0.0002588420442309285,0.003059512962809575,0.027357905139853977,378400,0.9482853007566724,0.9767751760898534,0.9734598737966184,0.9687579005431743,0.8441767361936274,0.9966816449929595,0.9584122845578984,0.9056481663071191,0.984933903576983
trail-5,trail-5_00591.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-5\trail-5_00591.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-5\trail-5_00591.png,0.8598572938689217,0.82234991984549,0.8236968976228853,0.9746974222155013,0.016191489476611993,0.009111088307886735,0.0329208592595571,378400,0.7382444338205163,0.8365096865648134,0.9427922162726916,0.8692614670138016,0.6230908703071673,0.9746974222155013,0.7984137902380699,0.7141975195447405,0.9584793830858453
trail-5,trail-5_01741.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-5\trail-5_01741.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-5\trail-5_01741.png,0.8477193446088795,0.6497588696410687,0.5735421943616082,0.9776747985232451,0.02232520147675486,0.0,0.028398189600039356,378400,0.5998997623151867,0.0,0.9799970005634077,0.9716018103999606,0.0,0.9776747985232451,0.7417920608464987,0.0,0.9788345222383261
trail-5,trail-5_01791.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-5\trail-5_01791.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-5\trail-5_01791.png,0.27341701902748416,0.4642562223129677,0.24897162103799164,0.9283476512356484,0.07165234876435156,0.0,,378400,0.0,1.0,0.62434421429477,0.0,0.00016479339028692777,0.9283476512356484,0.0,0.00032953247579995884,0.746585330638175
trail-6,trail-6_00381.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-6\trail-6_00381.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-6\trail-6_00381.png,0.5950184989429176,0.563952517375911,0.5303833676386067,0.9963761947612909,0.0005837001726779678,0.003040105066031082,0.9059104983836411,378400,0.9132616487455197,0.971489303613565,0.5209463196912572,0.08680642303936043,0.6086749343270816,0.9963761947612909,0.15854316173725475,0.7484300351551936,0.6841769060233719
trail-6,trail-6_01916.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-6\trail-6_01916.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-6\trail-6_01916.png,0.5458007399577167,0.5849253379805488,0.376950485786894,0.9969313207782295,0.0030686792217704878,0.0,0.3192090395480226,378400,0.00144477483094336,1.0,0.9731274898379134,0.6807909604519774,0.07705373271143943,0.9969313207782295,0.002883430444718297,0.14308243009837546,0.9848855968175884
trail-7,trail-7_00146.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-7\trail-7_00146.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-7\trail-7_00146.png,0.5857954545454546,0.4944877217403719,0.32134583547162815,0.9889754434807438,0.011024556519256165,0.0,,378400,0.0,0.0,0.9403263027505812,0.0,0.0,0.9889754434807438,0.0,0.0,0.9640375064148844
trail-7,trail-7_01246.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail-7\trail-7_01246.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail-7\trail-7_01246.png,0.9354307610993657,0.6554161114722754,0.6343048419255272,0.9965092275115399,0.0,0.0034907724884600732,0.0,378400,0.0,0.8634289003105258,0.9824173712528824,0.0,0.9697391069052863,0.9965092275115399,0.0,0.913501400163559,0.9894131256130226
trail,trail_02116.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_02116.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_02116.png,0.5634408033826639,0.48072205487111963,0.32635411333138936,0.9614441097422393,0.03855589025776078,0.0,,378400,0.0,0.0,0.9973383230031575,0.0,0.0,0.9614441097422393,0.0,0.0,0.979062339994168
trail,trail_02906.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_02906.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_02906.png,0.3427510570824524,0.5872840600490341,0.3237811173432155,0.9201022476599297,0.07989775234007035,0.0,0.15825006751282744,378400,0.025472137551177176,0.0,0.9236955903697386,0.8417499324871726,0.0,0.9201022476599297,0.04944793451361127,0.0,0.9218954175160353
trail,trail_02976.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_02976.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_02976.png,0.2171379492600423,0.5947399951895315,0.2885236014937625,0.9339730180005261,0.06447370069271335,0.0015532813067605316,0.15499026966916876,378400,0.022277354715294014,0.9248484848484848,0.7178065311152187,0.8450097303308313,0.005237237237237237,0.9339730180005261,0.043410265931617585,0.010415493558570089,0.8117450449910999
trail,trail_03086.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\trail\trail_03086.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\trail\trail_03086.png,0.5320507399577167,0.6583082397751774,0.34045153428199043,0.9963683919319953,0.0036316080680046277,0.0,0.021443672606463304,378400,0.018513545172478815,0.0,0.9739174897857842,0.9785563273935367,0.0,0.9963683919319953,0.03633957312217499,0.0,0.9850150297237962
village,village_00518.png,data\raw\rugd\RUGD_frames-with-annotations\RUGD_frames-with-annotations\village\village_00518.png,data\raw\rugd\RUGD_annotations\RUGD_annotations\village\village_00518.png,0.5591754756871036,0.6536255149421915,0.34271470308794244,0.9883023480584456,0.011697651941554381,0.0,0.03501945525291829,378400,0.010338995164018391,1.0,0.9969603555810452,0.9649805447470817,0.0075936520210471625,0.9883023480584456,0.020458790739333085,0.015072846093890521,0.9926124724306037
